Link,Job Title,Company,Posted Date,Location,Hourly Pay,Employment Type,Work Days,Hours per Week
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGtfhbd34fshLx8fk4jf22VZX9fyFsR6j7Bvt4yomWonTt3EmauX28WJ-8kKyDL8I5ee_Ipu4F81G9zjGOKZaPTkYb-Gu0vCToWeWWRzhCxeyRmpuck8jbt6SnMUstC_EmIeEwe_x9777VgFuw9fgGzO3MNofGZxsWWAkyQLVwOSzPcoepSwk0jCoc9ymw9R9fjHESqmkYc0ZJML88C3NP6rG0LoTnZVzi1HnMw243GGL_EhB0EXj74tWoumZcy2RzyIJJfDD5UckTq_evyM4I_ArGD5FBO0Auu3d7PxAruHNQtp-FR7wqco69rcuPtdFmkDgUtIHPwzlLMvG7WP8KNLD_kpIBCqbkL-F_Y30P5HcV6SX3HUhQDrStYoSx6jBoQeNCbNYCgtZYp33T_QZcLibnuOpPoBL9cVrSIM9OXmbH3_U58TxNdpha1kfkeF_-2PCq7Aq7ytUCykXFT9cUyFxl_xApbDHgDbEgbQkBEJooUVc43lc95nKZSdLWlqDaMKX6ZWjtQ9Vzzha7OOrcAiQHag-fX7-q6W8uFL8YZ27csx8xAqLQHjLumcy1E7vuwx3lWaLbGV8eJ3eRoc_Zl068e5ttbbU2wJizAqYbYZAKggE7tPHfLEp3ndWgT5EihMDy23SLNQ==&xkcb=SoAS6_M30OktkhS8Ux0KbzkdCdPP&camk=ethIe0s0hedcK1QRv-9YHA==&p=0&fvj=0&vjs=3,House Person,Evanston Golf Club,Unknown Date,"Skokie, IL 60076",$18.50 - $20.00 an hour,Part-time,Day shift+3,Not listed
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuNmg6b5hi7cUTuTv4_JCFgAy0cslz7w3SlFLLPrr63wmBcRM3iR8a_D_VMst9lm4OZQX9-LIt7EKHTjX3T0bTOQtgF1CcJPucBAv7nYqKUJFwTk39D7QGcSFuhB_7tbdIisiWS8CdZAeHK2czmVyg2-xivzyuhJzckN-Ikd9q_qr_HEldueI53lq7upZ6xZjVEtoYJNziqpB7a9M6bnPGLRBDE8em7T6gdCBjQtjCiiS2x_UjbKrVkkKDN8cSyQXq8D_BSdpme2V3YWcz4D6441pmb4oiwu3Ctv3xitlbhjC9YAB1J03LL5cgM2yjdzJyjqxQ1ULyRIEGSNKnsrJsfAuZn2immhgbzRyA-umnNjx0AJrBXKl2EZTQ5ZPB4sMMviqzhjBT0INwq_Yl3TYm7Fap_7NEzCssIzeGIvwQIvYo7XbFTH6kO7q-xVgbGJLzTPGXpS5cie6qJ7AvCfcXeSY7paF-TkCSZv7JPho9X5kBvdKjdlw4Xb5CXj_CE2RZZfPK5agkHw85XmCkW2Skbp_owH05zcPoc6JN6ngIBPt4rUzN-0FND_oveMo6E0PhS13sUTOICuXakxVMxPsx1jiWRtPecuf6y5ROQeL9_Lt75tDmvYAP_VdzeLFqIA8=&xkcb=SoCP6_M30OktkhS8Ux0JbzkdCdPP&camk=nUmJqO2E8rhKSy2psG1Qzw==&p=1&fvj=0&vjs=3,Custodian,Setna iO,Unknown Date,"Lincolnshire, IL 60069","$50,000 - $55,000 a year",Full-time,Monday to Friday+1,Not listed
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6GCHADGX37kvbFUlt9zF639EbnOrMDjDMmqaXmu-4Ed5JWDz66oSYgmKuX1CAsD-mNKBmCsV33SSalek7zIew6KzJzbYtSOBPZvIXBnhaiFr8i1nnhcgRC0Q3Hnrz0lx24csg3tZPSBLEu37xFH5dVCuaXvxUddp1Xd5f0ng_Jurmjo6TZ90NR5u1ZKnx6M4lxUVCs7Fv7dv6sX2masx-kbAiJKyTXNPeTar-dJAr2R064wOVUeXP2NNf0_JSR4jEQnZunuvR8B2u7wIuKedEW_aJaMDNJLwFVcyruC7yhUIEBLuehfk3aBUTQTE7tHkImuIRLlZgvH-9aIoHPHfBvFNi6YqtqrJOx2AI3do2sxERRBtfkUGDqVdtSt-pNMf8-kH78g2KIYjcUZiLNwettsacY3iNI9naToplDtS7-wceQdF7klpVlcI2m3OXGl0VL3vklxCRldjh_58zqm-0BHf_kOq6xnJGaNnK3rWwZ0wsadLo03ZLbHwUW8nBMWe27RsDT8gPCkRjYJuyvi-mMYXDWBDVdLln7uSKuOB0yLoes4Rjgq_BfwaMsJSfkNhACh9PeRJCZ5OSn7nF3Gjuru5rNKXpvPkYkSscIf3i7S26b7aEmX8pIH_KTSeKVnsfFZEXNdRcLehG-HtJLAeEyMww94j0ues=&xkcb=SoA76_M30OktkhS8Ux0IbzkdCdPP&camk=ethIe0s0hef_Ot1utgqHOw==&p=2&fvj=0&vjs=3,"Part-Time Custodian - Malta, IL",Kleen-Tech,EmployerActive 3 days ago,"Malta, IL 60150",$16 an hour,Part-time,Monday to Friday+1,Not listed
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_NzNN4r0J2CgycSSCEHJviB92Ogv0C_0GyugDfm0235Vj0DMRQsVyYKavTcvV_hiqcVpTgM3Zfqw-j2qAdWIc8_w8C_7Je9wHMfiqmkzSjcuvdOalgArs2lD38gXLgklYNWRtjwnxoJNzsawkc1V9R5Dym75txvlyoRqcpQaa41ihVWq9_0Rs-OAMFTZiFfR8viirfFoY82TntVuHpwC-piKvLpzxuzk3EM8H9KUCkAk_w6dc0iVHRf29Zo8t4tLSiMUIbKzJclQIYnZnD9MsS4CtO0pmM1KoGAxmFeOe9kKqfbM9E-hRWkNkEZsvwK6jXWj90nxZOCSewyBRT_TI-yJfvleUIY_JJ38L64nVfb8-jPWiUXv8LV-9ylYHg5qK0dKBJ9I4Jz2o2neIHxQIhVXdRWPHGAK2fxeP0zk-9PsSGdLFa5DBwP1vQJlXjDETD5-9tFbTFsy9ev2L2wCLeOXwG_dqrqiJh2iuYJcd9xez1kE5YJj4yaUrNhcPI0JqTOWEoFn3vDYml_QnW4BJmlIDp76X_e4YX2FdIinYOlxJOkUjep15hNspQ_jmTxEZsjE-D97WeFY-Mr5ldHJ-yNAHpwFAeQrKDmclibIM779bImvZXoi_czAHzwqCEqIuYo_Id3Ze8mKh_mDVDeTI&xkcb=SoC16_M30OktkhS8Ux0PbzkdCdPP&camk=ethIe0s0hedOmkDdWDD4Ww==&p=3&fvj=0&vjs=3,Dishwasher/Janitor 9a-2p,Bandana's Bar-B-Q,EmployerActive 3 days ago,"Collinsville, IL 62234",Up to $16 an hour,Full-time+1,Monday to Friday+5,Not listed
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AR-lnqOtBECawLcYrqhAD6oky6q5m0sKAq0A-y2_9SOogcKZZAMSHr7r3xXI2audbGOOg3sDBqoz0GTKwZUl_Cl6pz4xxHYieFRyWoHRKM4_z04ZfZBwDZnD5IfE5gLjqhLQzmeSSgZlTnmN2e1qyuKyRmuiMM2iOJQPP1TbNCH5ySboA_d_xRViZNeSH2huZjrw_Hb--XTc7RcwFU77nK8bSCsf6U69yv6QwEEum0INAyol1Sob_DkCvo2FyH-J-D6eGlv3B1Gw-W5FiEJ-mYQnWc2qBKbxpLmLGFQ_d961zl92kEDoszIf74S1IvpopNdCwnBUBsbUJ3A30Ue-RX__iV8DJxMh3qB2C7CSgEac2W1Sa63FtxJZCVZpI0QX89XcZmMIcrIy8NgF2IlF2f73Js2ENoJbbgnxSz7yogiuAJJ18brA_0weDBBUQGW4lV5Uu2yznqRf4zKDj95ArjXsP0MuCFi6K3mK3ND_joLt1Uc1SNmnqTpbJNRgQieemdYnaVUWd1GeaXsy_loxXybokEnniuR4WdO5Xx9nKLQukKBSa2v5Xg8vFcRqnbelB_0NPgx6_XF-9EU4FliqJwBorwh_1NPNOyFhUeVl-5lwxSerIkWdItEYX908-qBuS5f-Qd8Jep2BIj7WnfrzLy&xkcb=SoAB6_M30OktkhS8Ux0ObzkdCdPP&camk=ethIe0s0hed1kTGPvGsT9Q==&p=4&fvj=0&vjs=3,Custodial/Janitorial Worker,"ClearStaff, Inc.",EmployerActive 3 days ago,"Lincolnwood, IL 60712",Up to $18 an hour,Full-time,Monday to Friday+2,Not listed
https://www.indeed.com/rc/clk?jk=7d54c41af637c1ec&bb=G0HvmqzQpnq9KLfOXpDYLAO_XGiuLSStLyNmk91nnTOY8Bp2GmODucFZFgkMGnoEtv26i97f6Jrcj_plfTN0CP1vpBi6ioTMBBDAs7zMtWVspnI2okpHi4XuoCBqUEM6&xkcb=SoBo67M30OktkhS8Ux0NbzkdCdPP&fccid=10bef1e2695908c2&vjs=3,Janitor,City Colleges of Chicago,Unknown Date,"Chicago, IL",$21.06 an hour,Not listed,Not listed,Not listed
https://www.indeed.com/rc/clk?jk=23200f2d99a340be&bb=G0HvmqzQpnq9KLfOXpDYLI-azsEvA7mxZbu1IeV0r4OhH1XSXD9wNYK8cmtDECgmx7ox-31Y0dgz9UpVbm0xaWVUtumatVLcQLVSKsMldp6O_ABhIf6l9A%3D%3D&xkcb=SoA167M30OktkhS8Ux0DbzkdCdPP&fccid=9474516a9efc22f2&vjs=3,Laundry Wash Attendant,Four Seasons,Unknown Date,"Chicago, IL",$23.89 - $25.39 an hour,Full-time,Not listed,Not listed
https://www.indeed.com/rc/clk?jk=e79682da53aec398&bb=G0HvmqzQpnq9KLfOXpDYLA6FZg-HYWhddGwsnOIQa7DtOF81GCWL9RoGJgun2V5Wq0GaoZyvd0_QDC9SxmwOowg0jIUUFoR65ro4_G8W-T9seBGwB4WNdhUwVZA86Rjb&xkcb=SoCB67M30OktkhS8Ux0CbzkdCdPP&fccid=110f5406c8843444&vjs=3,Janitor (Helper C),Related,Unknown Date,"Chicago, IL 60607",$21.67 an hour,Not listed,Not listed,Not listed
https://www.indeed.com/rc/clk?jk=5c71949552fe0aa2&bb=G0HvmqzQpnq9KLfOXpDYLHT2UgqlvguLglpWiSQka_pMoNoOz3Yt9BY2i_BMMgI0gdODR5shQzHT1_NZT00qA5jZpvf6zBl_gHS-NxvXhsuKqjKv7q1ckCBmcz9svtCg&xkcb=SoAc67M30OktkhS8Ux0BbzkdCdPP&fccid=cf3d86ebc9d052e2&vjs=3,JANITOR (FULL TIME),Flik Hospitality Group,Unknown Date,"Chicago, IL 60666",$21 an hour,Full-time,Weekends as needed+1,Not listed
https://www.indeed.com/rc/clk?jk=60d2868c059502db&bb=G0HvmqzQpnq9KLfOXpDYLBETgZKQ8zSOSB-CNuoOC93NiKh2C8CdtEHHxGDDVkhnG9jhtxvlNYemnttUNA-LYL5530a-EbcaWRaVXfg2W_w1BpPvUNuIsA%3D%3D&xkcb=SoCo67M30OktkhS8Ux0AbzkdCdPP&fccid=6f47211b0637a52d&vjs=3,Laundry Attendant - The Drake Hotel,Hilton,Unknown Date,"Chicago, IL 60611",$21.90 an hour,Full-time,Weekends as needed+1,Not listed
